,Team,W rate,K rate,BABIP,wOBA,Year
0,SFG,0.11,0.161,0.303,0.359,2000
1,CLE,0.105,0.162,0.318,0.364,2000
2,OAK,0.11699999999999999,0.18,0.3,0.356,2000
3,SEA,0.12,0.16699999999999998,0.299,0.352,2000
4,ANA,0.095,0.161,0.303,0.356,2000
5,CHW,0.092,0.15,0.309,0.357,2000
6,HOU,0.10400000000000001,0.175,0.305,0.361,2000
7,STL,0.106,0.19699999999999998,0.308,0.353,2000
8,NYY,0.1,0.16,0.304,0.35,2000
9,TOR,0.083,0.162,0.297,0.35,2000
10,DET,0.08900000000000001,0.155,0.303,0.341,2000
11,LAD,0.106,0.172,0.283,0.337,2000
12,NYM,0.107,0.16399999999999998,0.29,0.339,2000
13,BAL,0.08900000000000001,0.14400000000000002,0.293,0.338,2000
14,TEX,0.091,0.145,0.31,0.347,2000
15,ATL,0.095,0.161,0.302,0.339,2000
16,CIN,0.08800000000000001,0.156,0.299,0.341,2000
17,BOS,0.096,0.16,0.297,0.334,2000
18,SDP,0.096,0.187,0.294,0.321,2000
19,PIT,0.08900000000000001,0.162,0.299,0.333,2000
20,KCR,0.08,0.131,0.312,0.338,2000
21,FLA,0.087,0.191,0.304,0.324,2000
22,CHC,0.099,0.175,0.288,0.327,2000
23,ARI,0.086,0.156,0.29,0.332,2000
24,MON,0.077,0.17,0.299,0.327,2000
25,MIN,0.08800000000000001,0.163,0.309,0.327,2000
26,TBD,0.09,0.165,0.287,0.321,2000
27,PHI,0.09699999999999999,0.17800000000000002,0.29,0.32,2000
28,COL,0.09300000000000001,0.141,0.322,0.353,2000
29,MIL,0.098,0.196,0.284,0.319,2000
30,SEA,0.095,0.153,0.32,0.347,2001
31,CLE,0.091,0.16899999999999998,0.308,0.347,2001
32,TEX,0.086,0.171,0.3,0.349,2001
33,SFG,0.098,0.17,0.29,0.341,2001
34,OAK,0.1,0.16,0.288,0.338,2001
35,CHW,0.085,0.162,0.29,0.337,2001
36,NYY,0.083,0.166,0.293,0.332,2001
